category,day_of_week,post_hour,followers,reel_duration_sec,num_hashtags,caption_length,has_music,has_trending_audio,collab_post,avg_past_views,past_engagement_rate,num_mentions,is_sponsored,views
travel,Sunday,14,259,15,22,241,1,0,0,1295,0.0357,9,0,3052
finance,Saturday,5,7743,30,11,235,1,0,1,1004,0.0621,5,0,4052
education,Thursday,10,2782,15,7,202,1,1,0,12532,0.1067,6,0,9009
fitness,Wednesday,20,18638,7,20,141,0,0,0,1458,0.0223,3,0,9628
travel,Friday,10,4589,15,20,93,1,0,0,24247,0.0745,2,0,30024
gaming,Tuesday,19,3188,15,20,151,1,1,0,1467,0.0448,2,0,11868
food,Friday,19,180913,30,16,252,1,1,0,5,0.0599,2,0,124672
travel,Friday,20,7339,90,21,66,1,1,0,13818,0.1241,1,0,23782
education,Wednesday,17,4251,30,4,175,1,0,1,2060,0.1398,5,0,3211
fitness,Sunday,17,1057,30,23,102,1,0,0,397,0.0402,0,0,2596
finance,Thursday,9,591,90,7,90,1,1,0,656,0.0963,5,0,7056
education,Friday,1,19671,90,17,192,1,1,0,592,0.1031,7,0,19335
education,Thursday,8,17663,60,10,165,1,0,0,91,0.1272,5,0,16655
food,Monday,13,83186,7,21,89,1,1,0,6338,0.1354,1,1,67096
fashion,Saturday,18,11638,30,27,267,1,0,0,449,0.0729,6,0,12039
fitness,Sunday,9,2422,60,26,50,1,0,0,193,0.1475,2,0,12521
comedy,Thursday,22,12330,60,9,165,1,0,0,5942943,0.1458,8,0,4963980
education,Tuesday,3,4253,30,25,173,1,0,0,109,0.0784,7,1,11190
fashion,Saturday,5,23334,7,14,226,1,1,0,920,0.0836,5,1,9214
comedy,Tuesday,13,54273,90,5,265,1,0,0,11,0.1018,0,0,21394
fitness,Friday,3,3628,30,18,8,1,0,0,13475,0.0592,1,0,4681
dance,Saturday,14,116210,30,16,86,1,1,0,623,0.101,7,0,120161
gaming,Thursday,15,41732,30,22,93,1,1,1,5618,0.0796,5,0,11467
fashion,Saturday,6,5073,30,9,51,1,0,0,166,0.0101,0,1,8976
motivation,Friday,16,16437,15,4,178,1,1,0,43,0.1286,8,0,19422
dance,Wednesday,18,8517,15,27,277,1,1,0,246,0.1414,7,0,18497
gaming,Sunday,18,5113,90,15,238,0,1,0,16170,0.0088,1,0,13546
food,Tuesday,16,153838,30,11,72,1,1,0,3478,0.1194,9,0,31886
travel,Friday,5,12477,30,25,71,1,0,0,43,0.0609,4,0,5462
finance,Wednesday,10,1081,60,20,67,0,0,0,8,0.0899,2,0,3423
motivation,Saturday,15,772,30,26,4,0,1,0,576,0.0775,0,0,2626
food,Saturday,7,831,15,23,237,1,1,0,9747,0.0849,6,0,41663
fitness,Friday,10,11862,30,27,120,1,0,1,240,0.0768,8,0,22791
food,Thursday,6,2657,15,4,210,0,0,0,9439,0.1287,6,0,8971
travel,Saturday,23,8954,15,20,261,0,1,0,1413,0.1041,2,0,6875
fitness,Thursday,21,26516,45,0,57,1,0,0,36517,0.0648,5,0,29332
motivation,Thursday,18,189412,60,1,42,1,0,0,282,0.1048,2,0,242155
travel,Sunday,9,2770,45,4,196,1,0,0,972,0.1449,3,1,3768
comedy,Thursday,8,389,7,22,71,1,0,0,295,0.0166,0,0,9344
finance,Monday,3,123787,30,18,90,1,0,1,7869,0.0613,1,0,25321
motivation,Sunday,22,356,7,27,36,1,0,0,3574,0.1312,0,0,11905
comedy,Wednesday,14,332,30,14,236,1,0,0,36,0.1122,9,0,4796
gaming,Wednesday,12,118138,15,0,292,0,1,0,4378,0.1406,1,1,84245
motivation,Saturday,1,33497,60,10,153,1,1,0,55,0.0108,3,0,11588
gaming,Saturday,1,11762,15,27,169,1,1,0,177,0.1301,5,0,10802
fitness,Thursday,15,4492,7,17,271,1,1,0,4872,0.1198,7,0,14896
comedy,Sunday,8,3195,30,2,109,0,1,0,89,0.1232,9,0,4949
finance,Sunday,12,1523,15,27,150,1,0,0,521,0.0916,8,0,5130
travel,Monday,2,2952,45,8,130,1,0,0,5007,0.0125,9,0,8337
education,Thursday,8,4512,60,23,267,1,0,0,2515,0.0832,6,0,16221
food,Monday,12,414,7,30,22,1,0,0,2238,0.0641,3,0,12946
dance,Thursday,20,1122,30,3,138,1,0,0,5343,0.0814,6,0,3601
finance,Tuesday,21,109,90,23,238,1,1,0,14973,0.1123,0,0,12524
comedy,Tuesday,1,5654,45,12,191,1,0,0,91,0.0914,9,0,6403
education,Friday,7,5656,90,8,126,1,0,1,2135,0.0474,5,0,6274
finance,Thursday,8,120731,15,2,28,1,1,1,7547,0.0919,0,0,86993
comedy,Sunday,15,9662,15,15,120,1,0,0,5093,0.0171,7,0,7580
fashion,Saturday,1,1806,15,21,197,1,1,0,797,0.0058,3,0,6101
fashion,Wednesday,5,3426,15,7,173,1,0,0,710,0.0632,7,0,18956
gaming,Friday,21,11805,45,25,143,1,0,0,5702,0.1148,7,0,32356
finance,Saturday,7,7403,15,6,178,1,1,0,1682,0.1243,1,0,10255
fashion,Tuesday,4,13917,30,24,10,1,1,1,9781,0.0847,5,0,19497
comedy,Thursday,8,9688,15,22,138,1,0,1,1366,0.1309,9,1,20491
gaming,Friday,0,3118,60,16,252,1,0,0,519,0.0233,3,0,3290
comedy,Thursday,8,1873,7,24,18,1,1,0,32,0.1448,2,0,3802
gaming,Tuesday,9,1700,15,27,159,1,0,0,691,0.1387,8,0,8986
finance,Friday,22,929,30,15,121,1,1,0,93,0.0919,9,0,7145
education,Tuesday,3,700,7,20,71,1,1,0,28,0.0135,8,0,1157
travel,Monday,2,134488,30,21,54,1,0,0,194,0.0709,1,0,64856
motivation,Tuesday,9,6151,30,17,168,1,1,0,4474,0.031,4,0,9006
education,Sunday,14,3716,60,15,98,1,1,0,676,0.0961,9,0,18027
fitness,Sunday,10,2013,30,14,69,0,0,0,1566,0.0325,9,0,1700
comedy,Thursday,13,10635,30,1,148,1,1,0,4218,0.0749,6,0,26288
fitness,Wednesday,5,42898,90,28,116,1,1,0,1020,0.0348,8,1,13482
education,Tuesday,11,18067,90,19,25,1,0,0,276,0.0314,7,0,10449
gaming,Saturday,12,25818,45,3,247,1,1,0,449,0.0409,9,0,24832
motivation,Sunday,16,1709,30,4,208,1,0,0,5140,0.0092,3,0,4100
motivation,Wednesday,15,4878,30,6,226,1,0,0,1040,0.1088,2,0,3666
dance,Monday,2,1750,30,28,113,1,1,0,6,0.0495,0,0,3405
motivation,Friday,1,5958,90,26,193,1,0,0,541,0.1062,0,0,4906
travel,Friday,10,48565,45,27,9,1,1,1,3175,0.0998,8,0,27994
motivation,Sunday,8,10839,15,14,94,1,0,0,1580,0.0146,3,0,3546
education,Wednesday,2,91865,7,16,120,1,0,1,142,0.0502,7,1,15504
dance,Sunday,17,2923,7,9,125,1,1,0,246,0.0872,3,0,3112
education,Friday,19,1149,15,19,36,1,1,0,22,0.1382,5,0,3667
education,Tuesday,14,12355,15,28,68,1,1,0,3290,0.0632,3,0,12368
food,Wednesday,13,6087,30,8,296,1,1,0,3803,0.0782,1,0,7219
dance,Thursday,1,8785,15,15,173,1,0,0,839,0.1138,0,0,8353
education,Tuesday,16,6712,30,23,44,1,1,0,544,0.1215,7,0,7979
food,Tuesday,21,2054,15,2,122,1,0,0,126,0.1389,5,0,3078
food,Tuesday,7,6990,15,21,26,1,0,0,2131,0.0771,0,0,4734
dance,Thursday,9,28341,30,26,192,0,0,0,41,0.0331,4,0,19569
fitness,Monday,17,34097,60,8,135,0,1,0,5185,0.1158,2,0,3902
gaming,Saturday,18,2036,30,7,194,1,0,0,3492,0.0232,1,0,7568
travel,Sunday,7,7448,30,22,48,1,0,0,11343,0.0657,2,0,22523
gaming,Friday,7,70178,30,6,95,1,0,0,1212,0.0961,1,0,86532
motivation,Sunday,2,2117,15,16,120,1,0,0,387,0.1053,9,0,3854
travel,Wednesday,2,1526,30,30,248,0,1,0,2602,0.1113,1,0,1394
motivation,Monday,11,20535,15,4,216,0,0,1,5228,0.0331,0,1,1221
education,Wednesday,21,14974,30,6,113,1,0,0,108,0.1473,2,0,15452
comedy,Sunday,16,1089,45,29,13,1,0,0,954,0.0309,2,0,5195
dance,Friday,3,395,45,12,61,1,0,0,1864,0.0189,3,0,14741
travel,Thursday,16,7192,15,17,42,1,0,0,2871,0.1013,2,0,2939
travel,Sunday,13,2313,45,30,239,1,0,1,542,0.1369,7,1,11899
education,Tuesday,18,237,15,21,95,0,0,0,3873,0.0861,3,1,13090
fitness,Sunday,8,1426,15,13,26,1,0,0,160,0.0913,9,0,8862
food,Tuesday,20,14540,15,17,241,1,1,0,62074,0.0831,0,0,21423
education,Thursday,11,3742,30,2,239,1,1,0,314,0.0112,1,0,5237
fashion,Sunday,4,82370,15,16,66,1,0,0,2478,0.1038,6,0,82778
food,Monday,10,114,30,18,280,1,0,1,363,0.0569,5,0,2875
dance,Monday,19,54632,60,30,191,1,1,0,1334,0.1407,8,0,103495
food,Wednesday,2,2646,15,6,118,1,0,0,126,0.0321,5,0,3248
fitness,Thursday,20,2040,30,20,151,1,0,0,9425,0.0488,1,0,18205
food,Monday,14,301,15,3,264,1,0,0,213,0.0782,7,0,1201
dance,Sunday,13,11351,30,14,230,0,1,0,1291,0.0742,8,1,20050
fitness,Thursday,10,183,7,30,248,0,1,0,965,0.063,4,0,8710
gaming,Friday,19,21423,90,28,58,1,0,0,269,0.0506,5,0,31143
travel,Tuesday,7,322,30,27,16,1,0,0,6,0.0263,3,0,6625
